序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元]
1,快车,03-28 23:14 周四,北京市,兴业大街|北京石油化工学院-北1门,观音寺小区25号楼,4.5,17.2
2,快车,03-31 15:21 周日,北京市,兴华大街|枣园东里-西区-南门,大兴区|康泰园,2.8,10.4
3,快车,03-31 19:48 周日,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.3,9.1
4,快车,04-02 10:34 周二,北京市,北京石油化工学院-南门,观音寺小区25号楼,3.9,11.44
5,快车,04-03 07:13 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,18.08
6,快车,04-04 11:21 周四,北京市,国家教育行政学院-北门,观音寺小区25号楼,4,13.08
7,快车,04-06 00:00 周六,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.1,13
8,快车,04-06 16:20 周六,北京市,康庄路|阳光百益大药房(第十六分店),观音寺小区25号楼,6.2,20.12
9,快车,04-07 14:57 周日,北京市,观音寺-北门,兴华大街|彤妍堂克丽缇娜(丽园店),3.4,13
10,快车,04-08 09:35 周一,北京市,北京石油化工学院-南门,观音寺小区25号楼,4,12.24
11,快车,04-08 21:39 周一,北京市,兴华大街|枣园东里西区-西门,观音寺小区25号楼,4.5,21.2
12,快车,04-09 07:34 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.5,18.4
13,快车,04-09 18:09 周二,北京市,黄村|大兴一中-西门,黄村|海底捞火锅(星城商厦店),2.4,12.09
14,快车,04-09 22:06 周二,北京市,兴华大街|北京石油化工学院-北1门-上车点,观音寺小区25号楼,4.4,19.04
15,快车,04-10 07:28 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.3,14.88
16,快车,04-11 16:40 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.54
17,快车,04-14 19:28 周日,北京市,兴华大街|北京石油化工学院(北2门),大兴区|康泰园,2.4,11.96
18,快车,04-16 12:49 周二,北京市,兴华大街|北京石油化工学院-北2门,兴丰大街|新里西斯莱公馆北区-北1门,2.9,11.05
19,快车,04-21 15:02 周日,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,13.1
20,快车,04-24 19:32 周三,北京市,兴华大街|兴创大厦-东门北侧,兴业大街|北京石油化工学院-北1门,2.2,11.96
21,快车,04-25 13:14 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.8,12.12
22,快车,04-29 15:53 周一,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,3.7,13
23,快车,04-30 16:11 周二,北京市,兴华大街|北京石油化工学院-北2门,帝园商城(黄村东大街),3,13
24,快车,05-01 18:56 周三,北京市,兴业大街|枣园小区-西北门,大兴区|康泰园(南门),1.7,13
25,快车,05-07 17:05 周二,北京市,兴华大街|枣园小区-南门,观音寺小区25号楼,4.3,14.42
26,快车,05-08 07:29 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,17.12
27,快车,05-09 11:26 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,13
28,快车,05-10 21:40 周五,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,18.04
29,快车,05-13 07:34 周一,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,4,18.4
30,快车,05-15 14:27 周三,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.3,13.38
31,快车,05-16 09:55 周四,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.1,12.48
32,快车,05-16 15:25 周四,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.2,12.48
33,快车,05-18 16:02 周六,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.82
34,快车,05-23 22:19 周四,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,16.81
35,快车,05-27 22:46 周一,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,17.04
36,快车,05-28 07:33 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.9,19.84
37,快车,06-01 22:58 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.6,21.14
38,快车,06-02 16:59 周日,北京市,观音寺-北门,大兴区|康泰园,6.1,20.94
39,快车,06-04 17:30 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.3,17.28
40,快车,06-08 10:22 周六,北京市,观音寺-北门,大兴区|康泰园,6.2,18.73
41,快车,06-08 16:56 周六,北京市,兴华大街|波普公社小区,黄村|大兴一中-北门,3.2,11.44
42,快车,06-08 21:07 周六,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",黄村西大街-地铁站,2.8,13
43,快车,06-09 15:45 周日,北京市,观音寺-北门,大兴区|康泰园,6.5,20.98
44,快车,06-09 16:09 周日,北京市,康庄路|康泰园-南门,大兴区康庄路53号|康泰园(南门),12.6,38.86
45,快车,06-10 07:35 周一,北京市,黄村|康泰园,兴业大街|北京石油化工学院-北1门,2.2,13
46,快车,06-13 20:57 周四,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,0.9,13
47,快车,06-14 12:42 周五,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.3,12.87
48,快车,06-14 22:18 周五,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",观音寺小区25号楼,4.6,16.15
49,快车,06-15 15:43 周六,北京市,兴华大街|北京石油化工学院-南门,大兴区|康泰园,2.4,12.87
50,快车,06-16 18:04 周日,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4,14.05
51,快车,06-16 19:42 周日,北京市,兴华大街|彩虹新城商铺,大兴区|康泰园,3.6,11.44
52,快车,06-16 23:41 周日,北京市,兴华园-公交站路西,观音寺小区25号楼,3.9,14.29
53,快车,06-22 16:26 周六,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.4,13
54,快车,06-23 21:21 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,26.92
55,快车,06-24 17:30 周一,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,5.4,23.04
56,快车,06-25 15:11 周二,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.2,13
57,快车,06-25 21:00 周二,北京市,兴华大街|枣园地铁站D西南口,大兴区|康泰园,2.5,13
58,快车,06-25 22:01 周二,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",大兴区|康泰园,2.6,13
59,快车,06-26 10:57 周三,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,2.3,13
60,快车,06-26 16:12 周三,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.04
61,快车,07-14 18:17 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,18.39
62,快车,07-15 12:06 周一,北京市,康庄路|康泰园-南门,观音寺小区25号楼,6.3,19.62
63,快车,07-15 14:49 周一,北京市,观音寺-北门,枣园-地铁站,6.3,24.12
64,快车,07-24 13:14 周三,北京市,当前位置,枣园-地铁站,4.1,15.04
65,快车,07-24 18:56 周三,北京市,当前位置,兴华大街|咖啡一色(石化学院丽园小区东南),3.5,16.43
66,快车,07-25 17:00 周四,北京市,当前位置,大兴区|康泰园,6.2,24.88
67,快车,07-26 08:12 周五,北京市,当前位置,滨河|大兴二中站自行车租赁点,2.6,14
