,Unnamed: 0,Unnamed: 0.1,序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元],cmplt_start_address,cmplt_ending_address,cmplt_start_address_converted,cmplt_ending_address_converted
0,0,0,1,快车,03-28 23:14 周四,北京市,兴业大街|北京石油化工学院-北1门,观音寺小区25号楼,4.5,17.2,北京市兴业大街|北京石油化工学院-北1门,北京市观音寺小区25号楼,"116.324701,39.7499","116.3473,39.7278"
1,1,1,2,快车,03-31 15:21 周日,北京市,兴华大街|枣园东里-西区-南门,大兴区|康泰园,2.8,10.4,北京市兴华大街|枣园东里-西区-南门,北京市大兴区|康泰园,"116.333828,39.7503","116.341483,39.7269"
2,2,2,3,快车,03-31 19:48 周日,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.3,9.1,北京市康庄路|康泰园-南门,北京市兴业大街|北京石油化工学院-北1门,"116.325202,39.7572","116.324701,39.7499"
3,3,3,4,快车,04-02 10:34 周二,北京市,北京石油化工学院-南门,观音寺小区25号楼,3.9,11.44,北京市北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
4,4,4,5,快车,04-03 07:13 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.8,18.08,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
5,5,5,6,快车,04-04 11:21 周四,北京市,国家教育行政学院-北门,观音寺小区25号楼,4,13.08,北京市国家教育行政学院-北门,北京市观音寺小区25号楼,"116.325518,39.7460","116.3473,39.7278"
6,6,6,7,快车,04-06 00:00 周六,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.1,13,北京市兴华大街|北京石油化工学院-北2门,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
7,7,7,8,快车,04-06 16:20 周六,北京市,康庄路|阳光百益大药房(第十六分店),观音寺小区25号楼,6.2,20.12,北京市康庄路|阳光百益大药房(第十六分店),北京市观音寺小区25号楼,"116.325202,39.7572","116.3473,39.7278"
8,8,8,9,快车,04-07 14:57 周日,北京市,观音寺-北门,兴华大街|彤妍堂克丽缇娜(丽园店),3.4,13,北京市观音寺-北门,北京市兴华大街|彤妍堂克丽缇娜(丽园店),"116.347837,39.7286","116.332131,39.7562"
9,9,9,10,快车,04-08 09:35 周一,北京市,北京石油化工学院-南门,观音寺小区25号楼,4,12.24,北京市北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
10,10,10,11,快车,04-08 21:39 周一,北京市,兴华大街|枣园东里西区-西门,观音寺小区25号楼,4.5,21.2,北京市兴华大街|枣园东里西区-西门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
11,11,11,12,快车,04-09 07:34 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.5,18.4,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
12,12,12,13,快车,04-09 18:09 周二,北京市,黄村|大兴一中-西门,黄村|海底捞火锅(星城商厦店),2.4,12.09,北京市黄村|大兴一中-西门,北京市黄村|海底捞火锅(星城商厦店),"116.33709,39.7285","116.33709,39.7285"
13,13,13,14,快车,04-09 22:06 周二,北京市,兴华大街|北京石油化工学院-北1门-上车点,观音寺小区25号楼,4.4,19.04,北京市兴华大街|北京石油化工学院-北1门-上车点,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
14,14,14,15,快车,04-10 07:28 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.3,14.88,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
15,15,15,16,快车,04-11 16:40 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.54,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
16,16,16,17,快车,04-14 19:28 周日,北京市,兴华大街|北京石油化工学院(北2门),大兴区|康泰园,2.4,11.96,北京市兴华大街|北京石油化工学院(北2门),北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
17,17,17,18,快车,04-16 12:49 周二,北京市,兴华大街|北京石油化工学院-北2门,兴丰大街|新里西斯莱公馆北区-北1门,2.9,11.05,北京市兴华大街|北京石油化工学院-北2门,北京市兴丰大街|新里西斯莱公馆北区-北1门,"116.332131,39.7562","116.339495,39.7279"
18,18,18,19,快车,04-21 15:02 周日,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,13.1,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
19,19,19,20,快车,04-24 19:32 周三,北京市,兴华大街|兴创大厦-东门北侧,兴业大街|北京石油化工学院-北1门,2.2,11.96,北京市兴华大街|兴创大厦-东门北侧,北京市兴业大街|北京石油化工学院-北1门,"116.332131,39.7562","116.324701,39.7499"
